frame,id,x,y,z
335,0,-0.11489963784443069,-0.048061760281937344,0.4802970385207676
335,2,-0.11486852971101254,-0.04804874795501264,0.480167002041672
335,3,-0.11486587385213609,-0.04804763702677076,0.480155900168968
335,4,-0.11485170502077824,-0.04804171029811459,0.48009667241274395
335,6,-0.11405390548564681,-0.047707996017287674,0.47676175542566274
335,7,-0.11265568149539386,-0.04712312814911407,0.4709169777196055
335,8,-0.11256753755194134,-0.04708625811923412,0.4705485233380424
336,0,-0.11579402955400842,-0.04762864085433955,0.4830060214892087
336,2,-0.11592507589184271,-0.047689803839507466,0.483561910434767
336,3,-0.11593247161602979,-0.0476930620825304,0.4835930356662542
336,4,-0.11596741324742696,-0.04770830003088373,0.48373989025596387
336,6,-0.11626570959319332,-0.047828519889400636,0.48498100096477953
336,7,-0.11536181917848339,-0.047449080163138944,0.481200888902274
336,8,-0.1152300005679557,-0.047394769973052364,0.48065092515617935
337,0,-0.11339311264415222,-0.042593615361030034,0.49273104998327455
337,2,-0.11364124494145969,-0.042779068396685944,0.49340883152327997
337,3,-0.11365416032233866,-0.042786873555247316,0.4934521310517194
337,4,-0.11371449210927664,-0.04282164345136726,0.4936617346301912
337,6,-0.1143302852951025,-0.04304670749319594,0.49636465859437146
337,7,-0.1133994949513538,-0.04259720921052755,0.49275358941240155
337,8,-0.11324211277375294,-0.0425338955656044,0.49208793064948264
338,0,-0.11493529011947926,-0.03302958337228721,0.4969010339113291
338,2,-0.11517566892509161,-0.033434505553079454,0.49761714063379847
338,3,-0.11518916074263927,-0.033449569980992765,0.4976647071082333
338,4,-0.11525308045198948,-0.033514207164631084,0.49789653982319737
338,6,-0.11598635895630471,-0.033726390101954495,0.501065426550848
338,7,-0.11509687744504395,-0.03310179296039632,0.49757484780149724
338,8,-0.11493556035653012,-0.03303708918693464,0.49689505469179235
339,0,-0.11904920629788902,-0.02486494880215541,0.49899258767713045
339,2,-0.11920903945056564,-0.025421308974814347,0.4997167591726075
339,3,-0.11922016199642581,-0.025441636402813623,0.4997652486306487
339,4,-0.11927477335215854,-0.025527988183855863,0.500001936804313
339,6,-0.12004185713143661,-0.02570830635757861,0.5032195673768253
339,7,-0.11925728332093354,-0.024961679981228443,0.49987034581897233
339,8,-0.1191029897302591,-0.024898488569923844,0.49922035342827764
360,0,-0.11808324018919013,-0.016258805921701498,0.4986652789349803
360,2,-0.11822838959694415,-0.016778961203780408,0.4992475676370678
360,3,-0.11823766861847433,-0.016798048444820524,0.4992856618240674
360,4,-0.11828262233458711,-0.016878844913318765,0.4994709323070671
360,6,-0.11885258526405236,-0.01698938624903648,0.5018760839941991
360,7,-0.11825872266770068,-0.01634251962833064,0.4994027354251808
360,8,-0.1181480569682506,-0.01629600826652002,0.4989372824548689
360,9,-0.10765902661176378,-0.011949270812868286,0.4857740982452856
361,0,-0.11403545210209176,-0.013786780352185399,0.4925877574744658
361,2,-0.11428487169797727,-0.014410692834585535,0.4934205038215042
361,3,-0.11429861305443845,-0.014433946503846627,0.4934709631804184
361,4,-0.11436331953059695,-0.014532591573490445,0.493713041566811
361,6,-0.11501949839904148,-0.014659475019119168,0.4965277304105705
361,7,-0.11424446202108317,-0.013885471113532779,0.49346030315057693
361,8,-0.11411484462620544,-0.01383110532679658,0.49291637791107457
361,9,-0.11061739872812745,-0.013484203558738488,0.48974572664426935
362,0,-0.11311524700511233,-0.015502808320144262,0.4853614261469226
362,2,-0.11337665437722266,-0.016054972074170344,0.4863150848392124
362,3,-0.1133908689606122,-0.016076104771619235,0.48636983457382377
