frame_idx,track_id,class_id,class_name,confidence,x1,y1,x2,y2,world_x,world_y,world_z
0,1,66,keyboard,0.8721392154693604,299.0123291015625,373.82470703125,607.110595703125,479.86572265625,0.06459085816355571,0.09011070053564088,0.30400002002716064
0,2,64,mouse,0.46520158648490906,305.85040283203125,300.00836181640625,447.93927001953125,361.40240478515625,0.03993158323307908,0.06324762819738952,0.45600003004074097
1,1,66,keyboard,0.7209417223930359,294.88582456516383,372.9814526513746,628.4974942226265,479.7744090621372,0.06908728216452319,0.08961126704532095,0.30400002002716064
1,2,64,mouse,0.708853542804718,303.2304117147963,300.3431793423525,447.8399629896158,361.5114512850421,0.03851705654392797,0.063386327341562,0.4570000171661377
1,3,63,laptop,0.3117360770702362,135.17420959472656,232.95767211914062,621.4813232421875,479.8503112792969,0.04103783603936876,0.08269547122510795,0.46000000834465027
2,1,66,keyboard,0.5720061659812927,289.5767264920237,372.70035022107487,626.3884655312025,479.7407673933886,0.06680830964359141,0.08990603713555911,0.3050000071525574
2,2,64,mouse,0.6912478804588318,302.85168033010024,300.3064628154931,448.28224505473867,361.09576105106976,0.039268103952647355,0.063386327341562,0.4570000171661377
2,3,63,laptop,0.2674593925476074,114.67129900756987,218.37206281279998,630.0358128041594,479.44174535066384,0.0364226188536408,0.07723714889490896,0.45900002121925354
2,4,0,person,0.31898945569992065,265.6630859375,0.0,640.0,109.56116485595703,0.09114959743509626,-0.1350200675509553,0.42900002002716064
3,1,66,keyboard,0.6885715126991272,290.85103751145243,373.62484804544306,620.2907067873861,479.73444589127894,0.0658058174929268,0.09040711347794289,0.3050000071525574
3,2,64,mouse,0.6346935033798218,302.32323269575113,300.21955984835444,448.3515844906011,361.16447268699375,0.03851705654392797,0.063386327341562,0.4570000171661377
4,1,66,keyboard,0.6514572501182556,291.0358519071583,373.0658582391893,621.0084680900243,479.6849627893562,0.06658926883065237,0.08961126704532095,0.30400002002716064
4,2,64,mouse,0.6489537954330444,303.49378484819573,300.5255806687919,448.18211868967984,361.21646201505473,0.039268103952647355,0.063386327341562,0.4570000171661377
4,5,63,laptop,0.2621322572231293,13.44134521484375,85.361328125,578.318115234375,479.743896484375,-0.0383518832918553,0.05038782312734364,0.8420000672340393
5,1,66,keyboard,0.6420134902000427,291.27427960976945,372.5871316049777,622.5484211198898,479.65516922934887,0.06730955571892372,0.08990603713555911,0.3050000071525574
5,2,64,mouse,0.4457404911518097,303.47076664805684,300.79349994376156,448.1111807195622,361.4350158656228,0.03935403123316605,0.06352503061934428,0.4580000340938568
6,1,66,keyboard,0.656069278717041,294.8078809425847,373.3858090385531,608.6645279931466,479.82318744665594,0.06309205016323323,0.09011070053564088,0.30400002002716064
6,2,64,mouse,0.5418435335159302,303.55702295445104,300.8393076215554,447.99324262827434,361.3271511863608,0.03935403123316605,0.06352503061934428,0.4580000340938568
6,5,63,laptop,0.3542410135269165,2.885879660105388,82.03721483355986,582.7406755044121,479.79433462941523,-0.0425031870875909,0.047621224412049135,0.8420000672340393
7,1,66,keyboard,0.6557524800300598,296.4578418682946,374.04276660799894,600.6415215344273,479.8837091011019,0.06290985754776149,0.09129636997266452,0.30800002813339233
7,2,64,mouse,0.5179147124290466,303.1751866192069,300.7046683760526,447.9801122718851,361.38816756962206,0.03868562167808188,0.06366372976351674,0.45900002121925354
7,5,63,laptop,0.26129722595214844,8.841547946474464,84.42250511083742,585.6076234285922,479.90577178328385,-0.03428181497461455,0.05050750761755902,0.8440000414848328
8,1,66,keyboard,0.6329830884933472,293.4044064525796,373.87558893719864,604.4054955935674,479.71185100352074,0.06309205016323323,0.09011070053564088,0.30400002002716064
8,2,64,mouse,0.45766201615333557,302.8295705669288,300.51061567774684,447.948957209149,361.44039057029624,0.03851705654392797,0.063386327341562,0.4570000171661377
8,3,63,laptop,0.3421740233898163,116.07398311827217,231.67824760647318,605.6124494906004,479.95728808131105,0.028186215422047578,0.08269547122510795,0.46000000834465027
9,1,66,keyboard,0.7589787840843201,292.2296135137834,373.18732110574615,604.031952147969,479.59736095172354,0.06229709496560067,0.08990603713555911,0.3050000071525574
9,2,64,mouse,0.5856850147247314,302.52629736763015,300.67628003487175,448.3781988501497,361.3927787097291,0.039182179232917835,0.06324762819738952,0.45600003004074097
10,1,66,keyboard,0.6630781292915344,292.564788249398,373.16664937675495,608.5998971726589,479.5820218387318,0.06430207926692988,0.08990603713555911,0.3050000071525574
10,2,64,mouse,0.6460590958595276,302.8541765716094,300.58252679140276,448.1227710008635,361.1713205468435,0.039182179232917835,0.06324762819738952,0.45600003004074097
11,1,66,keyboard,0.7397319078445435,293.7829010810005,373.54716510034643,603.8896132810264,479.75172261605394,0.062092844829684905,0.09011070053564088,0.30400002002716064
11,2,64,mouse,0.5294888615608215,303.2963618041923,300.74868448395574,448.41912776048173,361.24293324658805,0.039182179232917835,0.06324762819738952,0.45600003004074097
11,3,63,laptop,0.279034823179245,145.1024883377626,233.6775536775845,595.9679244195186,479.73238307366665,0.03574599225576592,0.08269547122510795,0.46000000834465027
12,1,66,keyboard,0.6240414381027222,293.38728364116446,373.55509533185307,602.7234609872361,479.6973266312838,0.0625013511887232,0.0907035352541527,0.3060000240802765
12,2,64,mouse,0.4380756914615631,303.63990155784063,300.3051773586567,448.05869683121523,361.3415847256168,0.039182179232917835,0.06324762819738952,0.45600003004074097
12,3,63,laptop,0.4657348692417145,146.69381030515595,232.48963177395638,621.9385031309256,479.6655183723175,0.04870326164403977,0.0828752470285224,0.4610000252723694
13,1,66,keyboard,0.7477824687957764,291.3492828919801,373.7537122924167,602.4988124214427,479.65671876843714,0.061795848890268366,0.09040711347794289,0.3050000071525574
13,2,64,mouse,0.6821634769439697,303.6959330934442,300.3878316747986,448.22555300375814,361.35737899294634,0.03935403123316605,0.06352503061934428,0.4580000340938568
14,1,66,keyboard,0.6285485029220581,290.4015503518772,373.56194833937127,599.8146347051177,479.6510145016239,,,
14,2,64,mouse,0.5966408252716064,303.59376518016353,300.4698421106738,448.1245640092622,361.12430082303064,0.039268103952647355,0.063386327341562,0.4570000171661377
14,3,63,laptop,0.31066226959228516,153.6994698404667,228.37563595142484,635.6391608304491,479.60323103838965,0.0534800040794335,0.08171349258408322,0.46300002932548523
15,1,66,keyboard,0.6429574489593506,290.9187144488086,374.04684190665574,601.5725849211128,479.6447784459543,0.061795848890268366,0.09040711347794289,0.3050000071525574
15,2,64,mouse,0.465141624212265,303.5882780378571,300.51546263229005,448.20343237809345,361.1931132294753,0.039182179232917835,0.06324762819738952,0.45600003004074097
15,6,62,tv,0.2909430265426636,82.96456909179688,0.028961181640625,395.6495056152344,165.93820190429688,-0.14451457377826887,-0.27894345802298526,1.0380001068115234
16,1,66,keyboard,0.691531777381897,290.91196023524424,373.434622680305,608.138759398567,479.59808976437694,0.0635916528300074,0.08961126704532095,0.30400002002716064
16,2,64,mouse,0.6420503258705139,303.4269245775695,300.6189164560478,448.17713924992313,361.13909024973077,0.039096251952399144,0.06310892491960723,0.45500001311302185
17,1,66,keyboard,0.7541891932487488,290.68015237452187,373.34018909176854,605.7443254345728,479.5890023187956,0.061795848890268366,0.08990603713555911,0.3050000071525574
17,2,64,mouse,0.49765315651893616,303.36105129934674,300.8814035107859,448.1724968561516,361.36920462112863,0.039096251952399144,0.06310892491960723,0.45500001311302185
